,NDC,Storage_Condition,Reason,Status,created_date,GUID,execution_time,prompt_id,error_msg,response_status_code,batch_id,img_loc,ProprietaryName,DocID,SetID,S3Key,NDC11
3,00264-7510-00,Room Temperature,Temperature found within range,success,11/16/2023 18:50:46,80bed5ca-d7c2-470e-98d9-fad4c1f03d38,6.5218000411987305,prompt 1,,,11162023,SPL Files/2019/06/17/085614c7-ada4-4e2c-87c0-c9bc2f18365a/dextrose-5-10-percent-in-excel-2.jpg,DEXTROSE,f8b0dae4-652b-4ff0-a4b8-26f177e1bf18,085614c7-ada4-4e2c-87c0-c9bc2f18365a,SPL Files/2019/06/17/085614c7-ada4-4e2c-87c0-c9bc2f18365a/f8b0dae4-652b-4ff0-a4b8-26f177e1bf18.xml,264751000
4,00264-7510-10,Room Temperature,Temperature found within range,success,11/16/2023 18:50:46,a201de62-63c3-4efa-b6eb-5e0ed6e1f64a,7.749282121658325,prompt 1,,,11162023,SPL Files/2019/06/17/085614c7-ada4-4e2c-87c0-c9bc2f18365a/dextrose-5-10-percent-in-excel-3.jpg,DEXTROSE,f8b0dae4-652b-4ff0-a4b8-26f177e1bf18,085614c7-ada4-4e2c-87c0-c9bc2f18365a,SPL Files/2019/06/17/085614c7-ada4-4e2c-87c0-c9bc2f18365a/f8b0dae4-652b-4ff0-a4b8-26f177e1bf18.xml,264751010
5,00264-7510-20,Room Temperature,Temperature found within range,success,11/16/2023 18:50:46,5588fe38-5fdb-412a-b212-7849015a3fc9,7.648010015487671,prompt 1,,,11162023,SPL Files/2019/06/17/085614c7-ada4-4e2c-87c0-c9bc2f18365a/dextrose-5-10-percent-in-excel-4.jpg,DEXTROSE,f8b0dae4-652b-4ff0-a4b8-26f177e1bf18,085614c7-ada4-4e2c-87c0-c9bc2f18365a,SPL Files/2019/06/17/085614c7-ada4-4e2c-87c0-c9bc2f18365a/f8b0dae4-652b-4ff0-a4b8-26f177e1bf18.xml,264751020
6,00264-7520-00,Room Temperature,Temperature found within range,success,11/16/2023 18:50:46,27a1b699-41ed-4af3-8f04-730937501b19,6.778744697570801,prompt 1,,,11162023,SPL Files/2019/06/17/085614c7-ada4-4e2c-87c0-c9bc2f18365a/dextrose-5-10-percent-in-excel-5.jpg,DEXTROSE,f8b0dae4-652b-4ff0-a4b8-26f177e1bf18,085614c7-ada4-4e2c-87c0-c9bc2f18365a,SPL Files/2019/06/17/085614c7-ada4-4e2c-87c0-c9bc2f18365a/f8b0dae4-652b-4ff0-a4b8-26f177e1bf18.xml,264752000
7,00264-7520-10,Room Temperature,Temperature found within range,success,11/16/2023 18:50:46,c1d93972-14a2-4c40-bc5a-ca9fc820631d,5.963110446929932,prompt 1,,,11162023,SPL Files/2019/06/17/085614c7-ada4-4e2c-87c0-c9bc2f18365a/dextrose-5-10-percent-in-excel-6.jpg,DEXTROSE,f8b0dae4-652b-4ff0-a4b8-26f177e1bf18,085614c7-ada4-4e2c-87c0-c9bc2f18365a,SPL Files/2019/06/17/085614c7-ada4-4e2c-87c0-c9bc2f18365a/f8b0dae4-652b-4ff0-a4b8-26f177e1bf18.xml,264752010
8,00264-7520-20,Room Temperature,Temperature found within range,success,11/16/2023 18:50:46,8710e07c-dd20-41af-b5c8-2406755bba92,7.050064325332642,prompt 1,,,11162023,SPL Files/2019/06/17/085614c7-ada4-4e2c-87c0-c9bc2f18365a/dextrose-5-10-percent-in-excel-7.jpg,DEXTROSE,f8b0dae4-652b-4ff0-a4b8-26f177e1bf18,085614c7-ada4-4e2c-87c0-c9bc2f18365a,SPL Files/2019/06/17/085614c7-ada4-4e2c-87c0-c9bc2f18365a/f8b0dae4-652b-4ff0-a4b8-26f177e1bf18.xml,264752020
16,00527-1451-06,Refrigerate,Temperature found within range,success,11/16/2023 18:50:46,10a385b3-dea9-4657-9558-df37efa8bffb,7.483073949813843,prompt 1,,,11162023,SPL Files/2019/11/15/5752338a-dd73-415d-ba7e-9ca57fd47628/dronabinol-capsules-usp-4.jpg,Dronabinol,87de6548-70dd-4efd-b3c5-8f5a1749e395,5752338a-dd73-415d-ba7e-9ca57fd47628,SPL Files/2019/11/15/5752338a-dd73-415d-ba7e-9ca57fd47628/87de6548-70dd-4efd-b3c5-8f5a1749e395.xml,527145106
17,00527-1452-06,Refrigerate,Temperature found within range,success,11/16/2023 18:50:46,b89a9888-c8a0-4f7b-a4c4-fb7cd42d94a7,7.076386451721191,prompt 1,,,11162023,SPL Files/2019/11/15/5752338a-dd73-415d-ba7e-9ca57fd47628/dronabinol-capsules-usp-5.jpg,Dronabinol,87de6548-70dd-4efd-b3c5-8f5a1749e395,5752338a-dd73-415d-ba7e-9ca57fd47628,SPL Files/2019/11/15/5752338a-dd73-415d-ba7e-9ca57fd47628/87de6548-70dd-4efd-b3c5-8f5a1749e395.xml,527145206
10,00591-3153-01,Room Temperature,Temperature found within range,success,11/16/2023 18:50:46,30de921e-b923-4302-9926-3c570f63de3e,6.312268257141113,prompt 1,,,11162023,SPL Files/2019/09/11/a5fc4d50-50b2-46e0-b722-4c6b2ec47d06/image-3.jpg,Minocycline Hydrochloride,5d892333-6f78-4190-9bce-93d3a864913b,a5fc4d50-50b2-46e0-b722-4c6b2ec47d06,SPL Files/2019/09/11/a5fc4d50-50b2-46e0-b722-4c6b2ec47d06/5d892333-6f78-4190-9bce-93d3a864913b.xml,591315301
9,00591-5694-01,Room Temperature,Temperature found within range,success,11/16/2023 18:50:46,cf1b0414-d8c8-472c-83a4-373456c9c4ee,6.820136308670044,prompt 1,,,11162023,SPL Files/2019/09/11/a5fc4d50-50b2-46e0-b722-4c6b2ec47d06/image-2.jpg,Minocycline Hydrochloride,5d892333-6f78-4190-9bce-93d3a864913b,a5fc4d50-50b2-46e0-b722-4c6b2ec47d06,SPL Files/2019/09/11/a5fc4d50-50b2-46e0-b722-4c6b2ec47d06/5d892333-6f78-4190-9bce-93d3a864913b.xml,591569401
