,NDC,Storage_Condition,Reason,Status,created_date,GUID,execution_time,prompt_id,error_msg,response_status_code,batch_id,img_loc,ProprietaryName,DocID,SetID,S3Key,NDC11
136,00005-0100-01,Refrigerate,Temperature found within range,success,11/17/2023 15:26:29,825f24bb-f379-484f-b8f6-abacfc8f0bce,7.304571628570557,prompt 1,,,11172023,SPL Files/2022/12/06/bcaf5f75-caaf-41fd-875b-5800310070d1/trumenba-02.jpg,Trumenba,f073f2a0-1d30-47e6-b18c-c3f52fb45ea3,bcaf5f75-caaf-41fd-875b-5800310070d1,SPL Files/2022/12/06/bcaf5f75-caaf-41fd-875b-5800310070d1/f073f2a0-1d30-47e6-b18c-c3f52fb45ea3.xml,5010001
137,00005-0100-05,Refrigerate,Temperature found within range,success,11/17/2023 15:26:29,264e2187-de16-4c43-aaf5-cf13d9953d64,9.07178282737732,prompt 1,,,11172023,SPL Files/2022/12/06/bcaf5f75-caaf-41fd-875b-5800310070d1/trumenba-03.jpg,Trumenba,f073f2a0-1d30-47e6-b18c-c3f52fb45ea3,bcaf5f75-caaf-41fd-875b-5800310070d1,SPL Files/2022/12/06/bcaf5f75-caaf-41fd-875b-5800310070d1/f073f2a0-1d30-47e6-b18c-c3f52fb45ea3.xml,5010005
138,00005-0100-10,Refrigerate,Temperature found within range,success,11/17/2023 15:26:29,e41299e2-441e-4362-8cef-58b78d6da831,9.409909009933472,prompt 1,,,11172023,SPL Files/2022/12/06/bcaf5f75-caaf-41fd-875b-5800310070d1/trumenba-04.jpg,Trumenba,f073f2a0-1d30-47e6-b18c-c3f52fb45ea3,bcaf5f75-caaf-41fd-875b-5800310070d1,SPL Files/2022/12/06/bcaf5f75-caaf-41fd-875b-5800310070d1/f073f2a0-1d30-47e6-b18c-c3f52fb45ea3.xml,5010010
126,00008-0423-01,Refrigerate,Temperature found within range,success,11/17/2023 15:26:29,edd641a9-b141-4ab6-a5d0-7e51f3baa70a,7.600559949874878,prompt 1,,,11172023,SPL Files/2022/11/23/6d0f94b4-82ca-37c7-edb0-4f0702cf6c8d/image-01.jpg,North American Coral Snake Antivenin (Equine),7a16fb9b-c963-48d9-90f9-b428857ab5de,6d0f94b4-82ca-37c7-edb0-4f0702cf6c8d,SPL Files/2022/11/23/6d0f94b4-82ca-37c7-edb0-4f0702cf6c8d/7a16fb9b-c963-48d9-90f9-b428857ab5de.xml,8042301
125,00008-0423-03,Refrigerate,Temperature found within range,success,11/17/2023 15:26:29,06a62bfd-b568-46e8-bd83-20b768d25276,9.149080038070679,prompt 1,,,11172023,SPL Files/2022/11/23/6d0f94b4-82ca-37c7-edb0-4f0702cf6c8d/antivenin-03.jpg,North American Coral Snake Antivenin (Equine),7a16fb9b-c963-48d9-90f9-b428857ab5de,6d0f94b4-82ca-37c7-edb0-4f0702cf6c8d,SPL Files/2022/11/23/6d0f94b4-82ca-37c7-edb0-4f0702cf6c8d/7a16fb9b-c963-48d9-90f9-b428857ab5de.xml,8042303
47,00052-0313-01,Refrigerate,Temperature found within range,success,11/17/2023 15:26:29,3e90273a-174b-4543-8465-ce3d92e491a6,9.701797008514404,prompt 1,,,11172023,SPL Files/2022/07/04/96f11b5d-cc7b-48aa-830a-a28e1962d871/follistim-aq-cartridge-27.jpg,Follistim AQ,19e6b8fb-87e6-4dca-96c4-3cf8385533c1,96f11b5d-cc7b-48aa-830a-a28e1962d871,SPL Files/2022/07/04/96f11b5d-cc7b-48aa-830a-a28e1962d871/19e6b8fb-87e6-4dca-96c4-3cf8385533c1.xml,52031301
48,00052-0326-01,Refrigerate,Temperature found within range,success,11/17/2023 15:26:29,ee797f64-62a2-4b3b-9832-5f88941d5ed6,8.201277732849121,prompt 1,,,11172023,SPL Files/2022/07/04/96f11b5d-cc7b-48aa-830a-a28e1962d871/follistim-aq-cartridge-29.jpg,Follistim AQ,19e6b8fb-87e6-4dca-96c4-3cf8385533c1,96f11b5d-cc7b-48aa-830a-a28e1962d871,SPL Files/2022/07/04/96f11b5d-cc7b-48aa-830a-a28e1962d871/19e6b8fb-87e6-4dca-96c4-3cf8385533c1.xml,52032601
34,00093-5061-01,Room Temperature,Temperature found within range,success,11/17/2023 15:26:29,4e9b0121-2882-44d9-bc4e-27ee19568841,6.120013952255249,prompt 1,,,11172023,SPL Files/2022/06/01/80309ec1-e5d5-4454-b8ce-67d7e6805e44/image-3.jpg,Hydroxyzine Hydrochloride,cce6c295-d186-4bff-8b05-a9e941623257,80309ec1-e5d5-4454-b8ce-67d7e6805e44,SPL Files/2022/06/01/80309ec1-e5d5-4454-b8ce-67d7e6805e44/cce6c295-d186-4bff-8b05-a9e941623257.xml,93506101
35,00093-5062-01,Room Temperature,Temperature found within range,success,11/17/2023 15:26:29,c09e84c5-275e-499e-a60a-67a0edb997c5,6.099791526794434,prompt 1,,,11172023,SPL Files/2022/06/01/80309ec1-e5d5-4454-b8ce-67d7e6805e44/image-4.jpg,Hydroxyzine Hydrochloride,cce6c295-d186-4bff-8b05-a9e941623257,80309ec1-e5d5-4454-b8ce-67d7e6805e44,SPL Files/2022/06/01/80309ec1-e5d5-4454-b8ce-67d7e6805e44/cce6c295-d186-4bff-8b05-a9e941623257.xml,93506201
61,00093-7384-56,Room Temperature,Temperature found within range,success,11/17/2023 15:26:29,51abd5dd-9f54-4521-870b-0727845c8944,8.183058738708496,prompt 1,,,11172023,SPL Files/2022/10/03/9a30e1b5-272b-4109-ad6c-a3c9a895822f/image-5.jpg,Venlafaxine Hydrochloride,79d62d73-0002-4826-8ef3-d9872d14aa4c,9a30e1b5-272b-4109-ad6c-a3c9a895822f,SPL Files/2022/10/03/9a30e1b5-272b-4109-ad6c-a3c9a895822f/79d62d73-0002-4826-8ef3-d9872d14aa4c.xml,93738456
62,00093-7385-56,Room Temperature,Temperature found within range,success,11/17/2023 15:26:29,e5e6c55a-a656-4436-bc17-d287955e4720,7.825824975967407,prompt 1,,,11172023,SPL Files/2022/10/03/9a30e1b5-272b-4109-ad6c-a3c9a895822f/image-6.jpg,Venlafaxine Hydrochloride,79d62d73-0002-4826-8ef3-d9872d14aa4c,9a30e1b5-272b-4109-ad6c-a3c9a895822f,SPL Files/2022/10/03/9a30e1b5-272b-4109-ad6c-a3c9a895822f/79d62d73-0002-4826-8ef3-d9872d14aa4c.xml,93738556
63,00093-7386-56,Room Temperature,Temperature found within range,success,11/17/2023 15:26:29,14ef1fa9-66b6-4a55-80e3-c74266c8a3f1,7.581601142883301,prompt 1,,,11172023,SPL Files/2022/10/03/9a30e1b5-272b-4109-ad6c-a3c9a895822f/image-7.jpg,Venlafaxine Hydrochloride,79d62d73-0002-4826-8ef3-d9872d14aa4c,9a30e1b5-272b-4109-ad6c-a3c9a895822f,SPL Files/2022/10/03/9a30e1b5-272b-4109-ad6c-a3c9a895822f/79d62d73-0002-4826-8ef3-d9872d14aa4c.xml,93738656
64,00093-7446-01,Room Temperature,Temperature found within range,success,11/17/2023 15:26:29,f3e8c58c-0de6-419d-85f1-161fa7623cc2,9.361827611923218,prompt 1,,,11172023,SPL Files/2022/10/10/cc55110f-1ad6-4f97-840d-62b3a5ac415a/image-6.jpg,Fluvastatin Sodium,a962cd67-2b8a-4d30-aa2b-1ce0b2307346,cc55110f-1ad6-4f97-840d-62b3a5ac415a,SPL Files/2022/10/10/cc55110f-1ad6-4f97-840d-62b3a5ac415a/a962cd67-2b8a-4d30-aa2b-1ce0b2307346.xml,93744601
161,00121-0595-15,Room Temperature,Temperature found within range,success,11/17/2023 15:26:29,96bad9bf-bdce-497e-90a9-b7dfd2cdecd9,7.061732053756714,prompt 1,,,11172023,SPL Files/2022/12/19/63201a61-6ac5-41ae-8b2d-ff0d3a8ddfd5/sodium-citrate-02.jpg,Sodium Citrate and Citric Acid,efe0dd73-00d4-9223-e053-2a95a90a1bae,63201a61-6ac5-41ae-8b2d-ff0d3a8ddfd5,SPL Files/2022/12/19/63201a61-6ac5-41ae-8b2d-ff0d3a8ddfd5/efe0dd73-00d4-9223-e053-2a95a90a1bae.xml,121059515
160,00121-0595-16,Room Temperature,Temperature found within range,success,11/17/2023 15:26:29,6ee3670d-747d-4d9e-9c95-2b137e2c5cec,7.881526231765747,prompt 1,,,11172023,SPL Files/2022/12/19/63201a61-6ac5-41ae-8b2d-ff0d3a8ddfd5/sodium-citrate-01.jpg,Sodium Citrate and Citric Acid,efe0dd73-00d4-9223-e053-2a95a90a1bae,63201a61-6ac5-41ae-8b2d-ff0d3a8ddfd5,SPL Files/2022/12/19/63201a61-6ac5-41ae-8b2d-ff0d3a8ddfd5/efe0dd73-00d4-9223-e053-2a95a90a1bae.xml,121059516
162,00121-1190-30,Room Temperature,Temperature found within range,success,11/17/2023 15:26:29,25e99bca-1aa4-4d62-91c3-3e23178eeea2,6.672858238220215,prompt 1,,,11172023,SPL Files/2022/12/19/63201a61-6ac5-41ae-8b2d-ff0d3a8ddfd5/sodium-citrate-03.jpg,Sodium Citrate and Citric Acid,efe0dd73-00d4-9223-e053-2a95a90a1bae,63201a61-6ac5-41ae-8b2d-ff0d3a8ddfd5,SPL Files/2022/12/19/63201a61-6ac5-41ae-8b2d-ff0d3a8ddfd5/efe0dd73-00d4-9223-e053-2a95a90a1bae.xml,121119030
105,00169-7704-21,Refrigerate,Temperature found within range,success,11/17/2023 15:26:29,e8a5db0c-c57f-40d8-9895-0f56b81000ba,8.627415895462036,prompt 1,,,11172023,SPL Files/2022/11/17/1058e17c-9261-459c-a3e6-fae38d196c14/image-31.jpg,Norditropin,f29c93fa-6486-465b-88a9-6c2d984d17f9,1058e17c-9261-459c-a3e6-fae38d196c14,SPL Files/2022/11/17/1058e17c-9261-459c-a3e6-fae38d196c14/f29c93fa-6486-465b-88a9-6c2d984d17f9.xml,169770421
106,00169-7705-21,Refrigerate,Temperature found within range,success,11/17/2023 15:26:29,ec44f449-c0d3-4d4a-b16d-2bce86d23f14,7.759422063827515,prompt 1,,,11172023,SPL Files/2022/11/17/1058e17c-9261-459c-a3e6-fae38d196c14/image-35.jpg,Norditropin,f29c93fa-6486-465b-88a9-6c2d984d17f9,1058e17c-9261-459c-a3e6-fae38d196c14,SPL Files/2022/11/17/1058e17c-9261-459c-a3e6-fae38d196c14/f29c93fa-6486-465b-88a9-6c2d984d17f9.xml,169770521
